name,party,constituency,region
URSULA GIFTY OWUSU-EKUFUL,NPP,ABLEKUMA WEST Constituency,Greater Accra Region
VINCENT OPPONG ASAMOAH,NDC,DORMAA WEST Constituency,Bono Region
VINCENT EKOW ASSAFUAH,NPP,OLD TAFO Constituency,Ashanti Region
WILLIAM OWURAKU AIDOO,NPP,AFIGYA KWABRE SOUTH Constituency,Ashanti Region
WILLIAMS  OKOFO-DATEH,NDC,JAMAN SOUTH Constituency,Bono Region
WISDOM KOBENA WOYOME,NDC,SOUTH TONGU Constituency,Volta Region
WISDOM  GIDISU,NDC,KRACHI EAST Constituency,Oti Region
YAO  GOMADO,NDC,AKAN Constituency,Oti Region
YAW FRIMPONG ADDO,NPP,MANSO ADUBIA Constituency,Ashanti Region
YAW OSEI ADUTWUM,NPP,BOSOMTWE Constituency,Ashanti Region
RITA NAA ODOLEY SOWAH,NDC,DADEKOTOPON Constituency,Greater Accra Region
ROBERT WISDOM CUDJOE,NDC,PRESTEA HUNI-VALLEY Constituency,Western Region
ROCKSON-NELSON ETSE KWAMl DAFEAMEKPOR,NDC,SOUTH DAYI Constituency,Volta Region
SAMPSON  AHI,NDC,BODI Constituency,Western North Region
SAMPSON TANGOMBU CHIRAGIA,NDC,NAVRONGO CENTRAL Constituency,Upper East Region
SAMUEL OKUDZETO ABLAKWA,NDC,NORTH TONGU Constituency,Volta Region
SAMUEL  Atta-Mills,NDC,KOMENDA EDINA EGUAFO ABREM Constituency,Central Region
SAMUEL ATTA AKYEA,NPP,ABUAKWA SOUTH Constituency,Eastern Region
SAMUEL ERICKSON ABAKAH,NPP,SHAMA Constituency,Western Region
SAMUEL ABDULAI JINAPOR,NPP,DAMONGO Constituency,Savanna Region
STEPHEN PAMBIIN JALULAH,NPP,PRU WEST Constituency,Bono East Region
SULEMAN ADAMU SANID,NPP,AHAFO ANO NORTH Constituency,Ashanti Region
SYLVESTER MATTHEW TETTEH,NPP,BORTIANOR-NGLESHIE AMANFRO Constituency,Greater Accra Region
Teddy Safori Addi,NDC,AYENSUANO Constituency,Eastern Region
THERESA LARDI AWUNI,NDC,OKAIKWEI NORTH Constituency,Greater Accra Region
THOMAS ADDA DALU,NDC,CHIANA-PAGA Constituency,Upper East Region
THOMAS  MBOMBA,NPP,TATALE/SANGULI Constituency,Northern Region
THOMAS NYARKO AMPEM,NDC,ASUOGYAMAN Constituency,Eastern Region
TINA GIFTY  NAA AYELEY MENSAH,NPP,WEIJA-GBAWE Constituency,Greater Accra Region
UMAR FAROUK   ALIU MAHAMA,NPP,YENDI Constituency,Northern Region




NPP,,,
NDC,,,
INDEPEN,,,
