constituency,name,party,region
JAMAN NORTH Constituency,FREDERICK YAW AHENKWAH,NDC,Bono Region
NKWANTA SOUTH Constituency,GEOFFREY  KINI,NDC,Oti Region
MANSO NKWANTA Constituency,GEORGE KWABENA OBENG TAKYI,NPP,Ashanti Region
KPANDAI Constituency,DANIEL NSALA WAKPAL,NDC,Northern Region
OKERE Constituency,Daniel  Botwe,NPP,Eastern Region
UPPER DENKYIRA WEST Constituency,DANIEL OHENE DARKO,NDC,Central Region
TWIFO ATTI MORKWA Constituency,DAVID T. D. VONDEE,NDC,Central Region
MPRAESO Constituency,DAVIS ANSAH OPOKU,NPP,Eastern Region
NANDOM Constituency,DERY  AMBROSE,NPP,Upper West Region
GOMOA EAST Constituency,DESMOND DE-GRAFT PAITOO,NDC,Central Region
ANYAA-SOWUTUOM Constituency,DICKSON ADOMAKO KISSI,NPP,Greater Accra Region
BOLGATANGA EAST Constituency,DOMINIC AKURITINGA AYINE,NDC,Upper East Region
SENE EAST Constituency,DOMINIC  NAPARE,NDC,Bono East Region
ASENE/MANSO/AKROSO Constituency,GEORGE KWAME ABOAGYE,NPP,Eastern Region
MANSO NKWANTA Constituency,GEORGE KWABENA OBENG TAKYI,NPP,Ashanti Region
TARKWA NSUAEM Constituency,GEORGE MIREKU DUKER,NPP,Western Region
ABUAKWA NORTH Constituency,GIFTY  TWUM-AMPOFO,NPP,Eastern Region
AWUTU SENYA WEST Constituency,GIZELLA AKUSHIKA TETTEH-AGBOTUI,NDC,Central Region
WA EAST Constituency,GODFRED SEIDU JASAW,NDC,Upper West Region
TOLON Constituency,HABIB  IDDRISU,NPP,Northern Region
KUMBUNGU Constituency,HAMZA  ADAM,NDC,Northern Region
TAMALE SOUTH Constituency,HARUNA  IDDRISU,NDC,Northern Region
KRACHI WEST Constituency,HELEN ADJOA NTOSO,NDC,Oti Region
ELLEMBELE Constituency,EMMANUEL ARMAH-KOFI BUAH,NDC,Western Region
SENE EAST Constituency,DOMINIC  NAPARE,NDC,Bono East Region
OFORIKROM Constituency,EMMANUEL  MARFO,NPP,Ashanti Region
JOMORO Constituency,Dorcas  Toffey,NDC,Western Region
ODOTOBIRI Constituency,EMMANUEL AKWASI GYAMFI,NPP,Ashanti Region
LOWER MANYA KROBO Constituency,Ebenezer Okletey Terlabi,NDC,Eastern Region
ATWIMA NWABIAGYA SOUTH Constituency,EMMANUEL AGYEI ANHWERE,NPP,Ashanti Region
AHANTA WEST Constituency,EBENEZER KOJO KUM,NPP,Western Region
AMENFI WEST Constituency,ERIC  AFFUL,NDC,Western Region
BONGO Constituency,EDWARD ABAMBIRE BAWA,NDC,Upper East Region
ODODODIODIOO Constituency,EDWIN NII LANTEY VANDERPUYE,NDC,Greater Accra Region
ASUNAFO SOUTH Constituency,ERIC  OPOKU,NDC,Ahafo Region
TECHIMAN NORTH Constituency,ELIZABETH  OFOSU-ADJARE,NDC,Bono East Region
ASHAIMAN Constituency,ERNEST HENRY NORGBEY,NDC,Greater Accra Region
SUBIN Constituency,EUGENE BOAKYE ANTWI,NPP,Ashanti Region
ABURA/ASEBU/KWAMANKESE Constituency,ELVIS MORRIS DONKOH,NPP,Central Region
ASUNAFO NORTH Constituency,EVANS BOBIE OPOKU,NPP,Ahafo Region
OFORIKROM Constituency,EMMANUEL  MARFO,NPP,Ashanti Region
UPPER DENKYIRA EAST Constituency,FESTUS AWUAH KWOFIE,NPP,Central Region
ODOTOBIRI Constituency,EMMANUEL AKWASI GYAMFI,NPP,Ashanti Region
